"State","percWomen","percMen"
"Oklahoma","49.1000","40.7000"
"Kentucky","45.3000","35.5000"
"Iowa","45.3000","29.3000"
"North Carolina","43.9000","19.3000"
"Nevada","43.8000","32.8000"
"Alaska","43.3000","30.2000"
"Washington","42.6000","28.3000"
"Arizona","42.6000","33.4000"
"Idaho","42.5000","38.2000"
"Missouri","41.7000","35.2000"
"South Carolina","41.5000","17.4000"
"Hawaii","41.5000","24.1000"
"Arkansas","40.8000","34.8000"
"Tennessee","40","32.5000"
"Mississippi","39.7000","31.7000"
"Maine","39.3000","33.6000"
"Pennsylvania","37.7000","27.5000"
"Connecticut","37.7000","33.9000"
"Delaware","37.6000","32.7000"
"Alabama","37.5000","29.5000"
"Florida","37.4000","29.3000"
"Oregon","37.3000","33.6000"
"Montana","37.2000","34.6000"
"Utah","36.9000","19.6000"
"Colorado","36.8000","30.5000"
"Michigan","36.1000","25.8000"
"Louisiana","35.9000","35.2000"
"Kansas","35.9000","31.1000"
"Wyoming","35.8000","35.8000"
"New Jersey","35.8000","27.4000"
"Ohio","35.6000","30"
"Illinois","35.3000","25.9000"
"California","34.9000","31.1000"
"New Hampshire","34.7000","35.4000"
"Texas","34.5000","35.1000"
"New Mexico","34.4000","29.1000"
"Maryland","34.4000","28.8000"
"Minnesota","33.9000","25.1000"
"Massachusetts","33.9000","31.7000"
"Indiana","33.9000","27.9000"
"South Dakota","33.7000","30.2000"
"Nebraska","33.7000","28"
"West Virginia","33.6000","41.2000"
"Vermont","33.6000",""
"Georgia","33","30.4000"
"Wisconsin","32.4000","23"
"New York","31.7000","29"
"Virginia","31.3000","22.1000"
"Rhode Island","29.9000","19.3000"
"North Dakota","25.3000","26.1000"
