schid,region_district,samp
101,Western_10,Aflatoun
102,Western_1,Aflatoun
103,Western_11,Aflatoun
104,Western_2,Aflatoun
105,8_Western,Aflatoun
106,-999,Aflatoun
107,-999,Aflatoun
108,Western_2 ,Aflatoun
109,Western_1,Aflatoun
110,Western_1,Aflatoun
111,Western_1,Aflatoun
112,Western_4,Aflatoun
113,Western_1,Aflatoun
114,Western_1,Aflatoun
115,-999,Aflatoun
116,Western_9,Aflatoun
117,Western_3,Aflatoun
118,Western_4,Aflatoun
119,Western_10,Aflatoun
120,Western_3,Aflatoun
121,Western_5,Aflatoun
122,Western_8,Aflatoun
123,Western_6,Aflatoun
124,Western_2,SFE
125,Western__5,SFE
126,Western_7,SFE
127,Western_8,SFE
128,Western_7,SFE
129,Western_7,SFE
130,Western__4,SFE
131,Western_9,SFE
132,Western_11,SFE
133,4_Western,SFE
134,Western_8,SFE
135,Western_10,SFE
136,Western_3,SFE
137,Western_8,SFE
138,Western_12,SFE
139,Western_7,SFE
140,Western_8,SFE
141,Western_10,SFE
142,2_Western,SFE
143,10_Western,SFE
144,Western_8,SFE
145,-999,SFE
146,Western_10,SFE
147,Western_11,Control
148,5_Western,Control
149,Western_3,Control
150,Western__2,Control
151,Western_8,Control
152,2_Western,Control
153,Western_12,Control
154,Western_8,Control
155,Western_3,Control
156,Western_3,Control
157,Western_10,Control
158,Western_12,Control
159,Western_9,Control
160,Western_11,Control
161,Western_4,Control
162,2_Western,Control
163,6_Western,Control
164,-999 ,Control
165,Western_2,Control
166,Western_5,Control
167,Western_2 ,Control
168,-999,Control
169,Western_9,Control
201,Greater Accra__8,Aflatoun
202,8_Greater Accra,Aflatoun
203,Greater Accra_9,Aflatoun
204,Greater Accra_4,Aflatoun
205,Greater Accra_3,Aflatoun
206,Greater Accra_3,Aflatoun
207,Greater Accra_12,Aflatoun
208,Greater Accra_11,Aflatoun
209,Greater Accra_5,Aflatoun
210,Greater Accra_5,Aflatoun
211,Greater Accra_8,SFE
212,Greater Accra_10,SFE
213,10_Greater Accra,SFE
214,Greater Accra_10,SFE
215,Greater Accra__10,SFE
216,Greater Accra_4,SFE
217,Greater Accra_4,SFE
218,Greater Accra_11,SFE
219,Greater Accra_6,SFE
220,Greater Accra_5,SFE
221,Greater Accra_1 ,Control
222,Greater Accra_7,Control
223,Greater Accra_2,Control
224,Greater Accra_6,Control
225,Greater Accra_2,Control
226,Western__5,Control
227,-999,Control
228,1_Western,Control
229,Western_4,Control
230,7_Western,Control
301,Volta_5,Aflatoun
302,Volta_8,Aflatoun
303,Volta_2,Aflatoun
304,Volta_10,Aflatoun
305,-999,Aflatoun
306,Volta__4 ,Aflatoun
307,Volta_10,Aflatoun
308,Volta_9,Aflatoun
309,Volta_4,Aflatoun
310,Volta_6,Aflatoun
311,Volta__12,Aflatoun
312,Volta_7,Aflatoun
313,Volta_5,SFE
314,Volta_7,SFE
315,Volta_4,SFE
316,Volta_2,SFE
317,Volta_10,SFE
318,Volta_5,SFE
319,4_Volta,SFE
320,Volta_12,SFE
321,Volta_4,SFE
322,Volta_4,SFE
323,8_Volta,SFE
324,Volta_8,SFE
325,Volta_10,Control
326,Volta_4,Control
327,Volta_5,Control
328,Volta_4,Control
329,Volta_11,Control
330,Volta__3,Control
331,Western_9,Control
332,5_Western,Control
333,Western__5,Control
334,Western_1,Control
335,Western_6,Control
